# !!!!! DON'T EDIT THIS COLUMN AT ALL !!!!!,TEXT IN THIS COLUMN SHOULD BE TRANSLATED IN DESIRED LANGUAGE
# Please use Excel as editor for this file to be sure formatting will not be broken!!!,
# Lines starting with # will be ignored.,Column separator is comma!!
"Invalid request structure object for method %s.","Invalid request structure object for method %s."
"Invalid response structure object for method %s.","Invalid response structure object for method %s."
"Invalid error structure object for method %s.","Invalid error structure object for method %s."
"Name or structure invalid for get variable.","Name or structure invalid for get variable."
"Invalid type for variable %s.","Invalid type for variable %s."
"Invalid array type for variable %s.","Invalid array type for variable %s."
"Invalid values source for variable %s.","Invalid values source for variable %s."
"Couldn't initialize parsing variable.","Couldn't initialize parsing variable."
"Couldn't decode JSON buffer.","Couldn't decode JSON buffer."
"Invalid definition.","Invalid definition."
"Couldn't extract structure name.","Couldn't extract structure name."
"Invalid scope.","Invalid scope."
"Invalid definition for variable [%s]","Invalid definition for variable [%s]"
"Variable [%s] is invalid.","Variable [%s] is invalid."
"Error parsing variable [%s]","Error parsing variable [%s]"
"Blobs and blob arrays should have a defined structure [%s]","Blobs and blob arrays should have a defined structure [%s]"
"Form will be submitted to","Form will be submitted to"
"If this URL doesn't look right you will have to edit the script and set right base URL using $demo->base_url(); call.","If this URL doesn't look right you will have to edit the script and set right base URL using $demo->base_url(); call."
"API Key","API Key"
"Environment","Environment"
"Method","Method"
"Functionality","Functionality"
"Get parameters","Get parameters"
"Method parameters","Method parameters"
"Welcome to Smart2Pay SDK demo page!","Welcome to Smart2Pay SDK demo page!"
"Please note that this page contains technical information which is intended to help developers start using our SDK.","Please note that this page contains technical information which is intended to help developers start using our SDK."
"SDK version","SDK version"
"Please provide method and functionality for this form.","Please provide method and functionality for this form."
"Setup","Setup"
